timestamp,open,high,low,close,volume
2023-09-13,254.7900,256.7600,246.8900,247.8100,10589438
2023-08-31,247.2600,256.4250,245.0200,254.6100,29235339
2023-07-31,218.2200,256.8400,216.2500,247.2600,37112887
2023-06-30,210.3900,222.7400,208.6600,219.7900,34598093
2023-05-31,219.2300,222.5500,206.1700,208.9900,39559261
2023-04-28,218.5400,220.0600,201.4600,220.0000,32865777
2023-03-31,220.1500,226.4300,210.0400,222.6300,50593337
2023-02-28,225.7100,229.1500,219.4000,219.8200,36086640
2023-01-31,240.7900,246.6700,218.4900,225.8100,43199149
2022-12-30,267.0600,274.9200,236.0500,238.8600,33467746
2022-11-30,242.3400,264.9500,232.0801,264.1400,34261880
2022-10-31,228.3500,246.3000,218.8000,241.7000,37580517
2022-09-30,243.0900,247.0000,225.3270,226.1900,42372814
2022-08-31,240.1100,261.5900,238.7000,244.4100,29649713
2022-07-29,209.9400,242.0400,205.6100,241.1200,30947302
2022-06-30,224.0300,224.7000,196.6100,210.0400,34519397
2022-05-31,219.7900,229.4150,203.6300,222.9400,41288407
2022-04-29,228.2700,240.6340,217.4800,218.1800,39860143
2022-03-31,203.5400,232.0700,201.1500,227.5400,46604741
2022-02-28,206.4800,211.3900,192.2600,204.4400,36698757
2022-01-31,245.0600,247.4650,192.6900,206.1700,44025930
2021-12-31,229.9100,248.9600,224.5500,246.5800,32115331
2021-11-30,224.1100,241.1800,221.0600,230.8900,29423268
2021-10-29,200.5100,225.0000,197.0120,224.4900,27248018
2021-09-30,207.5000,207.7800,196.1000,199.9200,30546506
2021-08-31,210.5400,217.1500,206.2001,209.0400,33700643
2021-07-30,198.6200,210.3150,198.4100,209.6300,29859961
2021-06-30,197.7500,200.5100,192.1800,198.6200,30319181
2021-05-28,189.1700,198.3500,187.2900,196.0200,36776175
2021-04-30,190.2200,197.2800,184.8500,186.9900,33866569
2021-03-31,175.7700,193.4400,169.9250,188.4700,53239844
2021-02-26,165.2800,177.6150,164.2350,174.0200,34176220
2021-01-29,175.9700,176.5700,159.3100,165.1200,41683450
2020-12-31,175.1600,179.4600,170.8800,176.2000,30846282
2020-11-30,159.4400,177.1900,158.5000,173.8800,34730157
2020-10-30,141.6200,159.4600,135.1100,157.9600,47369709
2020-09-30,138.7900,144.2500,127.3100,139.4900,46744797
2020-08-31,133.3600,142.8500,132.2200,139.0900,44217440
2020-07-31,149.2200,152.6600,129.8400,132.9100,43395541
2020-06-30,146.0100,161.3000,142.4400,148.8900,44133650
2020-05-29,143.1700,149.7800,130.6400,146.4900,54383935
2020-04-30,129.9800,147.3200,126.6900,146.6900,51383240
2020-03-31,155.5500,164.6200,103.1100,136.6800,86935016
2020-02-28,173.8800,182.3200,150.5300,154.7400,44658676
2020-01-31,171.9600,179.8900,167.9500,171.3900,39408490
2019-12-31,170.5300,171.3600,165.2300,170.5000,34765223
2019-11-29,163.4000,172.7300,156.8900,170.7800,35165722
2019-10-31,162.3100,165.2000,153.7200,162.2300,42870189
2019-09-30,167.7500,174.5000,156.0400,161.4200,43979957
2019-08-30,165.2500,170.9200,158.7300,169.8400,42140334
2019-07-31,167.6200,172.0000,158.9200,166.5200,54138163
2019-06-28,160.5500,170.4500,155.2600,165.3300,29573052
2019-05-31,161.0000,164.0300,154.7100,160.1200,35807939
2019-04-30,161.2000,165.5000,158.1800,164.3900,28047185
2019-03-29,154.2500,159.9100,148.1500,159.7400,44322804
2019-02-28,139.7100,154.5500,139.7100,153.0300,39345814
2019-01-31,129.1600,141.1500,126.0600,139.8400,52323245
2018-12-31,149.1900,149.6700,121.4000,131.1200,56471694
2018-11-30,143.7500,148.6700,139.0200,147.4200,48998056
2018-10-31,151.3800,153.5100,133.1300,144.0800,46546666
2018-09-28,144.3500,151.3200,144.1900,150.6600,31776050
2018-08-31,130.2100,146.9600,129.2100,146.7500,46817756
2018-07-31,132.6600,140.3900,132.5900,134.9900,42277370
2018-06-29,130.6200,141.5200,130.6200,134.1400,50929041
2018-05-31,112.6500,132.0500,112.5800,130.0200,51410098
2018-04-30,115.2500,120.1400,111.7800,118.0800,52387569
2018-03-29,115.3300,119.1700,109.1400,113.4800,46040492
2018-02-28,122.5900,122.5900,107.6100,115.3200,36171735
2018-01-31,116.0300,125.2400,115.2500,123.6300,35301744
2017-12-29,113.9500,119.3900,112.2600,117.1900,33922201
2017-11-30,116.4000,116.7700,109.4400,114.4600,53232142
2017-10-31,109.2200,118.4700,108.5300,116.2600,34315498
2017-09-29,106.5300,109.9400,105.9400,109.3200,57930544
2017-08-31,118.7900,119.3800,102.8110,106.4700,111452870
2017-07-31,101.9800,121.7700,100.5100,118.9100,104450929
2017-06-30,103.0000,104.1600,98.5000,102.4600,64465172
2017-05-31,104.2900,104.4300,95.5000,102.3700,51007731
2017-04-28,102.2300,105.6750,100.0800,104.4900,26407090
2017-03-31,103.6600,105.2000,101.7700,102.3900,37255058
2017-02-28,96.0300,103.1400,94.1100,102.6200,34025566
2017-01-31,102.3800,104.0900,100.7700,100.9900,36219121
2016-12-30,95.9900,103.8800,94.9900,102.7800,43445926
2016-11-30,87.3000,97.5400,86.5300,96.0200,49834319
2016-10-31,88.1600,88.3700,85.4800,87.0600,29999928
2016-09-30,90.0200,90.9900,86.2100,88.2000,35884454
2016-08-31,88.0600,90.6600,87.5500,89.8100,33657744
2016-07-29,92.0000,96.0000,88.9250,88.9500,37319371
2016-06-30,87.6000,91.8700,85.2300,91.8700,45861513
2016-05-31,88.2400,89.6000,84.3600,87.8400,45434881
2016-04-29,88.7400,91.0000,87.4000,88.4400,35991448
2016-03-31,85.6200,90.0000,84.3600,89.7100,34416967
2016-02-29,80.7200,86.7600,78.9800,84.6900,42041625
2016-01-29,82.9300,83.2100,76.6500,83.0900,45334241
2015-12-31,86.8100,87.9700,83.1400,84.7200,33780121
2015-11-30,86.9900,87.9500,85.0000,86.2600,27511823
2015-10-30,80.9100,90.6700,78.7400,86.9900,43074371
2015-09-30,75.4600,81.4700,74.6600,80.3000,43396706
2015-08-31,78.5900,85.2060,64.2900,77.3200,55304566
2015-07-31,79.5100,83.0350,78.3600,79.7700,41873893
2015-06-30,85.7000,85.9800,79.8000,80.2300,36981574
2015-05-29,84.5300,88.4000,84.5200,85.5100,34671753
2015-04-30,85.7300,86.7900,83.3000,84.5400,31003231
2015-03-31,88.8800,90.2300,83.9110,85.6400,42945234
2015-02-27,81.8200,89.7000,81.7116,88.8400,41755053
2015-01-30,82.9800,87.1800,81.8000,82.5300,43394424
2014-12-31,85.1800,86.5400,82.0380,83.3700,43059674
2014-11-28,81.5000,86.2600,81.4800,85.6400,38122245
2014-10-31,73.0300,81.9900,70.4980,81.7800,51435767
2014-09-30,83.6800,84.6800,81.8000,83.0800,32126009
2014-08-29,80.8700,84.2300,79.8100,83.4800,27628300
2014-07-31,79.6200,82.6900,79.2000,81.3100,28959500
2014-06-30,79.6500,80.3700,77.9200,79.2800,36893400
2014-05-30,77.9700,79.8800,76.4500,79.6800,34758300
2014-04-30,77.0500,78.3500,73.3800,77.9600,44121500
2014-03-31,77.0500,79.3900,75.5500,77.2600,45807600
