timestamp,open,high,low,close,volume
2023-09-11,8.3100,8.3150,7.6400,7.7000,29217630
2023-08-31,7.9900,8.4400,7.2000,8.2200,118589301
2023-07-31,7.8100,8.4300,7.4200,8.0300,108549308
2023-06-30,7.7100,9.0300,7.6850,7.7900,122099254
2023-05-31,6.8300,7.9700,6.7000,7.6200,112581903
2023-04-28,7.9500,7.9600,6.7500,6.8600,87040922
2023-03-31,7.2500,7.9700,7.2000,7.9700,143786285
2023-02-28,7.2600,7.6975,6.9100,7.1700,124358979
2023-01-31,6.3200,7.6000,6.2100,7.2000,100920775
2022-12-30,6.8400,6.8800,6.1600,6.2700,145106325
2022-11-30,5.2000,6.8100,4.9700,6.8000,195456352
2022-10-31,4.9800,5.5000,4.4500,5.0900,209760415
2022-09-30,5.6400,5.8000,4.9900,4.9900,201078640
2022-08-31,5.8200,6.4000,5.6329,5.7600,137465795
2022-07-29,5.0700,5.9300,4.8800,5.8900,98862235
2022-06-30,7.1600,7.3100,5.1000,5.1700,137609625
2022-05-31,6.4800,7.2200,6.1750,7.1500,159285644
2022-04-29,7.1600,7.2450,6.2000,6.4400,136500004
2022-03-31,7.3700,7.5900,6.6300,7.0900,156154942
2022-02-28,7.1400,7.8100,6.8500,7.2300,102287420
2022-01-31,7.8200,8.1500,6.5300,7.0800,116393146
2021-12-31,7.5400,8.1100,7.1201,7.8100,98074327
2021-11-30,7.1100,7.7900,7.0100,7.3100,69335255
2021-10-29,7.9500,7.9500,6.6100,7.1200,85505172
2021-09-30,9.2400,9.3700,7.6600,7.8500,100260693
2021-08-31,9.0200,9.6200,8.2500,9.2700,92725483
2021-07-30,8.0500,8.9450,7.8500,8.8700,52086577
2021-06-30,8.2000,8.7800,7.9700,8.0500,56864702
2021-05-28,8.1600,8.2700,6.7800,8.0200,45424651
2021-04-30,7.7500,8.6400,7.5550,8.3100,50809394
2021-03-31,7.7100,7.8600,6.9801,7.7000,81268452
2021-02-26,6.8900,9.0000,6.7850,7.5700,68792200
2021-01-29,6.0000,7.7500,5.9211,6.6600,49747911
2020-12-31,5.3900,5.9400,5.3781,5.8400,25510222
2020-11-30,4.6200,5.4100,4.5300,5.3200,18426959
2020-10-30,4.1500,4.5800,4.0200,4.5700,12062693
2020-09-30,4.1000,4.3000,3.8800,4.0800,14374052
2020-08-31,4.8100,4.8700,4.0500,4.1100,14781171
2020-07-31,4.5700,5.2200,4.4800,5.0100,24769244
2020-06-30,4.1600,4.6200,4.0900,4.5400,28192365
2020-05-29,4.3400,4.6100,3.9000,4.0800,22788610
2020-04-30,3.6800,4.4900,3.5000,4.3500,16090965
2020-03-31,4.6300,4.8400,3.1700,3.7400,22737499
2020-02-28,4.7600,5.1900,4.2800,4.6000,17480231
2020-01-31,5.5700,5.5800,4.7100,4.7400,10195772
2019-12-31,4.9000,5.7000,4.8400,5.5600,8969605
2019-11-29,5.1600,5.3100,4.8900,4.8900,6689608
2019-10-31,4.6300,5.1500,4.5600,5.1000,10760727
2019-09-30,4.3700,4.7500,4.3300,4.4600,9989668
2019-08-30,4.4600,4.5700,4.1400,4.5000,7814302
2019-07-31,4.2700,4.5400,4.0300,4.3800,12512438
2019-06-28,3.7300,4.0400,3.5600,3.9500,17962321
2019-05-31,4.5900,4.6300,3.5900,3.6800,16782281
2019-04-30,4.4400,4.8900,4.3800,4.5500,13162596
2019-03-29,4.0300,4.4600,3.9600,4.3100,10509180
2019-02-28,3.9800,4.1400,3.7400,4.0300,11836198
2019-01-31,3.5700,4.0900,3.4600,3.9900,24817469
2018-12-31,4.0300,4.2300,3.5100,3.7500,20239697
2018-11-30,3.9400,4.1000,3.5400,3.9100,22549621
2018-10-31,4.8500,4.9000,3.7700,3.8300,18111262
2018-09-28,4.8600,4.8600,4.4700,4.8300,7883316
2018-08-31,4.9800,5.0700,4.6100,4.9000,12252689
2018-07-31,4.5700,5.1900,4.4400,4.9600,14029421
2018-06-29,4.9500,5.2000,4.5000,4.6000,14036794
2018-05-31,5.4700,5.8400,4.7500,4.9200,15625825
2018-04-30,7.2400,8.0000,5.7300,6.3000,9595587
2018-03-29,6.9500,7.5200,6.8400,7.2600,21085379
2018-02-28,7.0500,7.2500,6.5000,6.8200,15181328
2018-01-31,6.5200,7.3400,6.5200,7.1500,20711944
2017-12-29,6.4700,6.5900,6.3000,6.4800,19505624
2017-11-30,6.2000,7.5199,6.0700,6.5100,22692238
2017-10-31,6.1800,6.4200,6.1200,6.1600,13974900
2017-09-29,6.1000,6.2400,5.8600,6.1800,17657110
2017-08-31,6.6200,6.6500,6.0000,6.1000,21153174
2017-07-31,6.2800,6.7000,6.2000,6.5900,18316679
2017-06-30,6.3800,6.5000,6.0200,6.3100,21022772
2017-05-31,6.2000,6.4100,6.0800,6.3600,18331623
2017-04-28,6.5000,6.5500,6.1400,6.2600,17099024
2017-03-31,6.1000,6.6400,6.0200,6.4800,34144352
2017-02-28,5.7700,6.2100,5.6800,6.1800,25818785
2017-01-31,5.0400,5.8500,5.0400,5.7200,13129929
2016-12-30,5.3100,5.4400,4.8900,5.0400,14401115
2016-11-30,5.8400,5.9000,5.1100,5.3700,10589071
2016-10-31,5.9600,6.1300,5.8000,5.8500,11373207
2016-09-30,6.0100,6.2000,5.7100,5.9100,13809168
2016-08-31,5.9000,6.2300,5.8700,6.0600,14662262
2016-07-29,5.5300,5.8800,5.2700,5.7500,12033983
2016-06-30,5.5500,5.7800,5.1900,5.5800,26216154
2016-05-31,4.9200,5.9900,4.3950,5.6400,32268843
2016-04-29,5.6500,5.7400,4.8500,5.1300,33642891
2016-03-31,5.6600,5.9000,5.5300,5.8500,26484312
2016-02-29,5.1600,5.7050,4.9000,5.6200,18309749
2016-01-29,5.5400,5.5700,4.8900,5.3500,17145580
2015-12-31,5.5200,5.8800,5.1200,5.6700,20975040
2015-11-30,5.7400,5.9300,5.2800,5.3900,14488863
2015-10-30,5.5000,6.1600,5.2200,5.7400,30353547
2015-09-30,4.7400,5.8000,4.7000,5.4900,30930909
2015-08-31,5.5200,5.5600,4.5400,4.9200,42134233
2015-07-31,6.7500,6.7900,5.2400,5.6000,35712375
2015-06-30,7.0300,7.0600,6.3500,6.6000,34582517
2015-05-29,7.0800,7.2800,6.9400,7.0600,23100364
2015-04-30,7.2100,7.6500,6.7300,7.1300,31263624
2015-03-31,7.2700,8.1200,7.0000,7.2000,37471165
2015-02-27,6.6800,7.4550,6.5550,7.1000,28201518
2015-01-30,6.1200,6.9700,5.9100,6.6100,27616226
2014-12-31,6.2000,6.4500,5.9800,6.1300,16868174
2014-11-28,6.0800,6.3500,5.8300,6.1800,19679761
2014-10-31,5.9700,6.3800,5.6850,6.1700,17143688
2014-09-30,6.3400,6.4800,5.8500,5.9100,12824245
2014-08-29,6.0300,6.5500,5.9500,6.3800,12842800
2014-07-31,6.6700,6.8900,5.9200,5.9900,20931300
2014-06-30,6.4700,6.6600,6.2800,6.5000,19700100
2014-05-30,5.9200,6.6000,5.7800,6.4400,13626900
2014-04-30,5.5800,5.9200,5.4300,5.9100,11336600
2014-03-31,4.9800,5.6400,4.9200,5.5500,19829800
2014-02-28,4.4700,5.0300,4.4400,4.9700,9029900
2014-01-31,4.7500,4.9300,4.4500,4.5200,15703300
2013-12-31,5.0700,5.1100,4.4800,4.8000,29082900
2013-11-29,4.8700,5.3800,4.7900,5.0400,15502225
2013-10-31,4.7100,5.0500,4.7100,4.9300,10751600
2013-09-30,4.3600,4.7900,4.3600,4.7800,13362103
2013-08-30,4.0200,4.3200,3.9600,4.2700,9712500
2013-07-31,4.1500,4.3000,3.9700,4.0100,18964100
2013-06-28,4.2100,4.2500,3.8700,4.0600,13812900
2013-05-31,4.4400,4.4600,4.0400,4.2000,16201600
2013-04-30,4.0500,4.4800,3.9100,4.4800,11586700
2013-03-28,4.1500,4.3200,3.9200,4.1100,14175493
2013-02-28,4.0300,4.2000,3.8900,4.1300,14507200
2013-01-31,4.4300,4.6500,3.9900,3.9900,15611300
2012-12-31,4.1300,4.3100,4.0100,4.2800,10761200
2012-11-30,3.7800,4.1300,3.6800,4.1300,17382600
2012-10-31,3.7500,3.9400,3.4400,3.8000,18385600
2012-09-28,3.7900,3.9500,3.6700,3.7300,17823989
2012-08-31,3.8400,4.2600,3.6000,3.7000,16412800
2012-07-31,4.1200,4.2200,3.5800,3.8100,23628000
2012-06-29,4.5600,4.5600,3.9300,4.0700,28470073
2012-05-31,5.0700,5.2100,4.5300,4.6300,23873900
2012-04-30,5.1100,5.2200,4.7600,5.0700,21191000
2012-03-30,4.8300,5.2000,4.5700,5.1300,23520500
2012-02-29,5.2300,5.3100,4.6400,4.8800,34521200
2012-01-31,4.3700,5.4000,4.3500,5.2700,28979100
2011-12-30,4.6600,4.8000,4.1100,4.3400,19650900
2011-11-30,4.3900,4.7900,4.3100,4.5000,22014600
2011-10-31,4.1600,4.6500,4.0000,4.4200,28644500
2011-09-30,4.4500,5.0600,4.1700,4.2200,22963800
2011-08-31,5.5400,5.5600,4.0000,4.4900,41182400
2011-07-29,5.6100,5.8200,4.9700,5.3100,34587600
2011-06-30,6.1900,6.3400,5.3700,5.6400,24793374
2011-05-31,5.9100,6.1700,5.6200,6.1500,32517600
2011-04-29,5.5600,5.9500,4.9900,5.9000,22110300
2011-03-31,5.8400,6.0300,5.1900,5.4800,44931200
2011-02-28,6.1400,6.5700,5.6700,5.7200,29767600
2011-01-31,5.7300,6.6600,5.4300,6.1200,15442000
2010-12-31,5.3000,5.9700,5.2000,5.7400,19148100
2010-11-30,4.4600,5.1500,4.4600,5.1000,12010900
2010-10-29,4.1100,4.4800,3.9100,4.4200,13145200
2010-09-30,3.3400,4.2000,3.3400,4.1100,12494900
2010-08-31,3.8900,4.1100,3.3300,3.3900,10208700
2010-07-30,3.8800,4.2500,3.7800,3.7900,19789500
2010-06-30,4.1900,4.3700,3.8600,3.9100,21151500
2010-05-28,4.8000,4.9200,3.9400,4.1800,17133900
2010-04-30,4.5700,5.1200,4.5500,4.8600,20577800
2010-03-31,4.1100,4.5700,4.0500,4.5300,22811800
2010-02-26,3.8900,4.4700,3.7900,4.0200,23316900
2010-01-29,4.4300,5.2300,3.8900,3.9000,23985700
2009-12-31,3.9200,4.5000,3.9100,4.4300,28621200
2009-11-30,4.0900,4.6300,3.8900,3.9200,18038900
2009-10-30,3.9800,4.5300,3.8000,3.8700,17223800
2009-09-30,3.5400,4.1300,3.5200,4.1300,28842600
2009-08-31,3.5600,3.8200,3.2800,3.5000,37583200
2009-07-31,2.9300,3.6000,2.9200,3.5200,28304700
2009-06-30,3.2500,3.3400,2.5600,2.9700,32754900
2009-05-29,3.0300,3.3800,2.8100,3.1900,45312900
2009-04-30,2.5600,3.1100,2.3600,3.0300,21716800
2009-03-31,1.6600,2.9500,1.5700,2.5100,22762900
2009-02-27,1.5100,1.8700,1.5100,1.7000,9597100
2009-01-30,1.7600,1.9200,1.4900,1.6000,8664400
2008-12-31,1.5600,1.9000,1.3600,1.7600,17945200
2008-11-28,2.2000,2.2000,1.4600,1.6500,12841100
2008-10-31,2.5700,2.6600,1.5700,2.1700,8557000
2008-09-30,3.4400,3.5300,2.4900,2.5400,21201400
2008-08-29,4.3200,4.4200,3.5500,3.5700,11423300
2008-07-31,4.3600,4.6200,4.0100,4.3900,8682400
2008-06-30,5.2300,5.7200,4.3500,4.4500,7643200
2008-05-30,5.1100,5.6300,5.0800,5.2500,6617700
2008-04-30,4.8500,5.3900,4.8500,5.1600,12835300
2008-03-31,4.5200,5.0100,4.0200,4.8300,16087900
2008-02-29,4.2100,4.7500,3.9800,4.6200,14506900
2008-01-31,5.0600,5.0600,3.8800,4.2700,18933100
2007-12-31,5.0400,5.3000,4.5500,5.0200,9042800
2007-11-30,5.8800,5.9100,4.9600,5.0300,13760300
2007-10-31,5.4200,6.1300,5.1200,6.0200,19036400
2007-09-28,5.0500,5.7500,4.7100,5.4200,14079800
2007-08-31,6.3700,7.0800,4.7700,5.0000,24861500
2007-07-31,6.7900,7.4900,6.3100,6.5600,11764900
2007-06-29,5.9700,7.0000,5.9700,6.8300,21287300
2007-05-31,5.8300,6.1100,5.6400,5.9500,13822000
2007-04-30,5.9600,6.3900,5.8000,5.8100,15511300
2007-03-30,5.8900,6.1600,5.8100,5.9600,7557000
2007-02-28,5.7000,6.0000,5.3700,5.8600,6431500
2007-01-31,5.7200,5.9000,5.5100,5.7300,4359100
2006-12-29,5.7900,5.8900,5.4300,5.6500,3093600
2006-11-30,4.5100,6.1800,4.4500,5.8300,8378800
2006-10-31,4.6600,4.8100,4.2000,4.5600,8962200
2006-09-29,5.1400,5.3000,4.6400,4.6700,7207200
2006-08-31,4.4300,5.1500,4.2500,5.0800,8035900
2006-07-31,4.8800,4.9600,4.0500,4.5100,6617900
2006-06-30,5.0900,5.4400,4.3100,4.9700,6726000
2006-05-31,5.9500,6.1600,4.9300,5.0700,10263500
2006-04-28,4.7900,6.0000,4.7300,5.8300,8132900
2006-03-31,4.2000,4.7300,3.9700,4.6600,8920200
2006-02-28,4.5500,4.8700,4.0700,4.1000,10057400
2006-01-31,4.6100,4.8000,4.1700,4.5400,14932900
2005-12-30,3.6200,4.6000,3.6200,4.4900,8942700
2005-11-30,3.0600,3.7200,3.0300,3.6000,6816200
2005-10-31,3.4200,3.4600,2.8500,3.0600,5543000
2005-09-30,3.3700,3.5800,3.0700,3.3900,5121000
2005-08-31,3.8900,4.0000,3.3000,3.3400,6783900
2005-07-29,3.6600,4.0500,3.5800,3.8500,7064400
