timestamp,open,high,low,close,volume
2023-09-11,265.4400,279.6800,247.8600,278.3700,3452505
2023-08-31,275.0000,289.1200,254.9850,263.0200,7336690
2023-07-31,256.0900,282.2200,248.0000,277.2000,8356092
2023-06-30,213.5100,259.8300,211.4450,256.5300,9525154
2023-05-31,216.1000,219.0000,205.0950,212.4400,7746520
2023-04-28,226.0700,228.9900,203.6550,215.8500,8705557
2023-03-31,257.6400,268.0500,206.7500,226.0700,10742936
2023-02-28,250.2900,267.1400,242.3500,258.2200,7548960
2023-01-31,237.6100,251.3200,229.7800,250.8600,5802298
2022-12-30,265.1500,266.3999,233.2900,235.6500,6569006
2022-11-30,242.2500,263.2000,222.0050,263.1100,12949749
2022-10-31,285.9000,301.7100,222.8900,238.8000,11420831
2022-09-30,292.8500,314.2325,269.7300,280.4100,10000076
2022-08-31,295.3700,318.7100,286.1500,295.6600,12494638
2022-07-29,237.6500,297.3400,236.4300,296.1000,7774853
2022-06-30,256.0500,272.5800,229.5500,238.6100,7278786
2022-05-31,258.8900,275.1300,237.4800,254.4300,7412829
2022-04-29,246.9800,271.4900,233.0100,259.3600,8001785
2022-03-31,237.7700,255.0000,217.9200,245.9200,8158090
2022-02-28,225.3700,242.6700,214.0500,237.4000,5798546
2022-01-31,248.7000,250.2300,211.0600,223.4400,5594337
2021-12-31,229.0300,249.8400,225.7400,248.1200,5347135
2021-11-30,224.9000,243.9900,221.9200,225.2000,3669987
2021-10-29,200.0700,232.6100,197.6600,222.9200,5686523
2021-09-30,210.4200,211.7100,195.0400,198.7900,6905244
2021-08-31,203.9400,215.4100,200.0500,210.7400,5257785
2021-07-30,192.7500,203.2200,186.1650,202.2400,6417697
2021-06-30,194.1100,194.1100,178.7300,191.3800,7095529
2021-05-28,191.8800,197.2100,185.0100,192.3200,4549485
2021-04-30,164.9200,194.8300,163.6600,191.6500,7661138
2021-03-31,147.5300,169.5100,143.8800,164.5800,7790431
2021-02-26,146.0000,159.4550,144.4300,145.2500,6076549
2021-01-29,157.1100,158.3700,143.5200,144.9300,5175159
2020-12-31,146.6200,158.8300,145.6700,156.1800,6043407
2020-11-30,125.9700,152.7000,124.8237,144.8300,6255817
2020-10-30,122.6400,132.1200,119.6800,123.8700,6345374
