timestamp,open,high,low,close,volume
2023-09-11,3.0600,3.1800,2.8988,3.1500,364079
2023-08-31,3.4500,3.5000,2.8200,3.0500,1176046
2023-07-31,2.8600,3.7400,2.7300,3.4500,1596546
2023-06-30,2.3200,3.0000,2.1900,2.8900,840954
2023-05-31,2.4600,2.6500,2.2000,2.3300,1148410
2023-04-28,2.3600,2.5300,2.2200,2.4500,1239829
2023-03-31,2.1600,2.6000,2.0300,2.3600,1709399
2023-02-28,2.6100,2.7899,2.1600,2.1900,1783390
2023-01-31,2.3900,3.0700,2.0000,2.5800,1983524
2022-12-30,2.1700,2.5000,1.8800,2.3300,3688229
2022-11-30,2.2700,2.6400,2.0000,2.1600,5200421
2022-10-31,2.6100,2.7500,2.1400,2.2800,2858211
2022-09-30,3.6300,3.6900,2.5000,2.6000,2834328
2022-08-31,4.1900,4.2125,3.5800,3.6500,3327680
2022-07-29,3.8900,4.5600,3.7700,4.2200,1040695
2022-06-30,4.8500,4.9300,3.7600,3.9100,2615093
2022-05-31,5.8500,6.0200,4.6700,4.8600,3930904
2022-04-29,6.1100,6.3700,5.5502,5.8500,3138218
2022-03-31,5.8600,6.5400,5.7190,6.1100,2282466
2022-02-28,5.8400,6.4600,5.5300,5.9200,2192120
2022-01-31,6.5900,6.9000,5.2600,5.7900,2380345
2021-12-31,5.5600,6.7500,5.5000,6.5400,3519111
2021-11-30,7.4200,7.9884,5.3900,5.3900,9106671
2021-10-29,7.8300,8.2000,7.3300,7.3600,2673886
2021-09-30,8.0700,8.5000,7.6300,7.8300,866832
2021-08-31,8.4800,8.5200,7.6331,7.9900,1401298
2021-07-30,8.1300,8.9300,7.6100,8.3700,1651606
2021-06-30,8.0800,8.7300,7.5500,8.0800,2618209
2021-05-28,7.1800,8.0400,6.5800,8.0200,3129865
2021-04-30,7.5500,7.8400,7.0950,7.1800,1818054
2021-03-31,6.5700,8.5600,6.3300,7.5600,4177801
2021-02-26,6.3000,7.1100,6.2500,6.5600,1276371
2021-01-29,5.5100,6.8100,5.2500,6.3000,1699562
2020-12-31,5.6800,5.9400,5.1500,5.4600,3527948
2020-11-30,4.2900,6.2400,4.2200,5.6400,5512162
2020-10-30,4.2100,4.9100,4.0000,4.1900,3200519
2020-09-30,5.1700,5.2400,4.1400,4.1700,2107657
2020-08-31,4.8100,5.6000,4.7850,5.2000,2110940
2020-07-31,4.6600,5.1900,4.1800,4.8000,2373431
2020-06-30,5.0100,5.8800,4.3200,4.6000,4797656
2020-05-29,5.4800,5.6300,4.4600,5.0100,3419066
2020-04-30,4.8400,6.1700,4.1400,5.6400,7699762
2020-03-31,7.5000,8.0500,3.6200,5.0700,9982213
2020-02-28,8.1500,9.3100,7.1820,7.4900,5908157
2020-01-31,6.9800,8.9000,6.5500,8.1100,5086712
2019-12-31,6.9800,7.1800,6.1200,6.9500,4854880
2019-11-29,6.6400,7.0600,6.4700,7.0300,5271165
2019-10-31,7.5400,7.6200,6.5000,6.6100,5376024
2019-09-30,7.0100,7.9200,6.8500,7.5000,1943560
2019-08-30,7.6480,7.8400,6.4400,7.0200,3351163
2019-07-31,7.5700,8.1950,7.2100,7.8100,2180296
2019-06-28,7.7700,8.0800,6.8800,7.5200,1934895
2019-05-31,8.5900,9.4000,7.5500,7.7600,3658328
2019-04-30,7.2500,8.7400,7.2500,8.5100,1353105
2019-03-29,7.8600,7.9200,6.9500,7.2100,2566528
2019-02-28,7.6900,8.2600,7.1300,7.8300,3935117
2019-01-31,6.7900,8.2400,6.6400,7.6700,5307335
2018-12-31,7.7800,8.4360,6.8800,6.9400,3262997
2018-11-30,7.6300,8.2800,6.9700,7.6700,4492307
2018-10-31,9.4900,9.4900,7.2500,7.6000,9731310
2018-09-28,10.9400,10.9900,9.2600,9.4100,3465843
2018-08-31,11.1900,11.5300,10.4600,10.9400,5706218
2018-07-31,11.2500,12.3900,10.9800,11.1900,4681903
2018-06-29,11.2100,11.7000,10.2500,11.2500,6267197
2018-05-31,13.3500,13.5900,11.0000,11.1600,7149896
2018-04-30,14.5500,14.9900,13.3000,13.3000,3305284
2018-03-29,13.5900,14.8500,13.3500,14.2600,2768411
2018-02-28,13.8500,14.0500,12.3760,13.5100,3504076
2018-01-31,14.1100,15.0400,13.0700,13.8000,6577602
2017-12-29,14.0200,14.7500,13.5600,14.1000,2653733
2017-11-30,12.8400,14.5000,12.0000,14.0000,3445208
2017-10-31,13.6100,13.9900,12.7000,12.8500,1573806
2017-09-29,14.3200,14.4800,13.0000,13.6400,2331873
2017-08-31,15.1400,15.4500,13.5000,14.1500,2957349
2017-07-31,14.8600,15.4400,13.8000,14.9000,1601077
2017-06-30,15.6000,15.9500,14.0100,14.7600,3369262
