timestamp,open,high,low,close,volume
2023-09-11,2.5100,2.5400,2.1900,2.2300,14124720
2023-08-31,2.6300,2.6800,2.0900,2.4600,66538200
2023-07-31,2.6400,2.9799,2.5300,2.7200,50935921
2023-06-30,2.7000,3.1150,2.4800,2.6300,73077414
2023-05-31,2.9300,3.3350,2.6200,2.7000,95692334
2023-04-28,2.7200,3.2250,2.7148,2.8500,71638232
2023-03-31,2.3200,2.7900,2.0700,2.7100,130045791
2023-02-28,2.8300,2.9400,2.1600,2.2700,91387567
2023-01-31,2.5700,2.9100,2.5200,2.8100,135304225
2022-12-30,2.0900,2.6300,1.8200,2.5800,146349795
2022-11-30,1.4900,2.0850,1.3000,2.0500,114369570
2022-10-31,1.1200,1.5350,1.0000,1.4600,105387142
2022-09-30,1.1900,1.4000,0.9201,1.0700,142925746
2022-08-31,1.6700,1.7500,1.1900,1.1900,114598948
2022-07-29,1.5800,1.6800,1.3100,1.6600,119380796
2022-06-30,2.2300,2.4350,1.6000,1.6100,183086384
2022-05-31,2.7900,2.9100,1.9600,2.2000,257791059
2022-04-29,3.4800,3.7700,2.7800,2.8200,142869248
2022-03-31,2.9400,3.5600,2.9400,3.4800,179486211
2022-02-28,2.4900,3.2800,2.4500,2.9100,144937987
2022-01-31,3.1000,3.1600,2.4000,2.4200,115362001
2021-12-31,3.1600,3.2200,2.6900,3.1300,157968213
2021-11-30,2.7800,3.4699,2.6900,3.0900,177597281
2021-10-29,2.2800,3.0500,2.1900,2.7700,168032322
2021-09-30,2.3800,2.5000,2.1600,2.2600,150903245
2021-08-31,2.7100,2.8400,2.1900,2.3800,81515326
2021-07-30,2.9900,3.1300,2.3800,2.7400,98380795
2021-06-30,3.6600,3.8450,2.8800,2.9500,91637707
2021-05-28,3.1800,3.6850,2.9800,3.6200,90807077
2021-04-30,3.0400,3.4600,3.0130,3.1300,76494497
2021-03-31,3.0700,3.4293,2.8600,2.9800,129132755
2021-02-26,3.5000,3.6300,2.8900,2.9700,111971454
2021-01-29,3.8500,3.9500,3.2500,3.3800,116574130
2020-12-31,3.4700,3.8900,3.4250,3.6700,85609569
2020-11-30,3.7300,4.0000,3.2000,3.3700,118367740
2020-10-30,3.8900,4.2950,3.5100,3.6700,73327436
2020-09-30,4.3700,4.4250,3.5309,3.8300,96487848
2020-08-31,4.9900,5.3500,3.9300,4.2900,117377483
2020-07-31,3.9700,5.2400,3.7800,4.9800,101472610
2020-06-30,3.7700,3.9800,3.1800,3.9500,92956939
2020-05-29,3.4000,3.9500,3.3800,3.7400,126998274
2020-04-30,2.2800,3.6500,2.2500,3.5100,129914129
2020-03-31,2.9100,3.1600,1.4400,2.2800,212916520
2020-02-28,2.9300,3.7100,2.5900,2.8400,147737086
2020-01-31,3.7800,3.8200,2.7900,2.9600,125850678
2019-12-31,3.5800,3.8000,3.2600,3.7300,95094970
2019-11-29,3.7100,3.8300,3.3200,3.6200,75123434
2019-10-31,3.3700,3.7600,3.3100,3.7400,87558920
2019-09-30,3.8000,4.0800,3.2400,3.4100,114763891
2019-08-30,3.5100,4.1700,3.1800,3.7200,143422599
2019-07-31,3.2600,3.9200,3.1700,3.6300,104042470
2019-06-28,2.5700,3.5300,2.5600,3.3800,134893256
2019-05-31,3.0100,3.0600,2.2800,2.5100,145353702
2019-04-30,3.5000,3.5500,2.9200,3.0300,77562066
2019-03-29,3.2900,3.8100,3.1000,3.4700,127039207
2019-02-28,3.7400,3.8700,3.3000,3.3400,85070229
2019-01-31,3.6800,3.9700,2.8000,3.7600,129564722
2018-12-31,3.2200,3.8700,3.0800,3.6800,101102514
2018-11-30,3.5300,3.8000,2.7500,3.0500,101641418
2018-10-31,3.6700,4.1100,3.3700,3.4200,107417350
2018-09-28,4.0000,4.1000,3.5700,3.6800,96062285
2018-08-31,5.4900,5.6800,3.9000,4.0800,79146691
2018-07-31,5.7600,6.1600,5.4500,5.5000,49443175
2018-06-29,6.2300,6.2800,5.6000,5.8100,59871346
2018-05-31,5.4200,6.3300,5.3800,6.2400,75162179
2018-04-30,5.2500,5.7300,5.0100,5.4600,78274174
2018-03-29,5.2000,5.4300,4.8000,5.1900,96180767
2018-02-28,5.8100,6.1900,5.1100,5.2600,100001507
2018-01-31,5.9200,6.5200,5.6500,5.8800,104565641
2017-12-29,5.4100,5.9600,4.8900,5.8300,73828150
2017-11-30,5.5400,6.3500,5.3400,5.4300,86655136
2017-10-31,6.0300,6.4200,5.3500,5.4900,96528504
2017-09-29,6.7000,7.2500,6.0300,6.1000,132938576
2017-08-31,5.3600,6.6500,5.1200,6.6400,114627444
2017-07-31,5.0300,5.5100,4.8300,5.4000,81585852
2017-06-30,4.3700,5.7100,4.3400,5.1600,182573467
2017-05-31,4.0700,4.5600,3.5500,4.4700,159570157
2017-04-28,3.9800,4.5700,3.8300,4.1400,151857566
2017-03-31,3.8600,4.0700,3.3600,4.0000,238111724
2017-02-28,4.5500,5.2300,3.8700,3.9400,179093251
2017-01-31,3.8600,4.7900,3.8600,4.6200,187563236
2016-12-30,3.6500,4.2100,3.1600,3.8500,246776330
2016-11-30,4.1300,4.6600,3.4600,3.6700,180096419
2016-10-31,4.0500,4.3000,3.1400,4.0100,180498153
2016-09-30,3.7300,4.6500,3.6600,4.0500,253245412
2016-08-31,5.1800,5.8700,3.7000,3.7000,348324030
2016-07-29,4.2800,5.2500,4.2300,5.1700,211701877
2016-06-30,3.3100,4.4600,3.1900,4.1400,218816580
2016-05-31,3.4600,4.0500,3.1000,3.2600,157245540
2016-04-29,2.1400,3.4300,2.1000,3.4000,124387589
2016-03-31,2.4400,2.7700,1.9500,2.2100,149022916
2016-02-29,1.5100,2.5700,1.4400,2.4200,146228241
2016-01-29,1.4600,1.7100,1.1500,1.4500,87896058
2015-12-31,1.5200,1.6700,1.3100,1.4200,76886723
2015-11-30,1.7400,1.8400,1.3800,1.5200,75131581
2015-10-30,1.6100,2.1700,1.5400,1.8000,142500457
2015-09-30,1.7100,1.8100,1.3300,1.6300,114955073
2015-08-31,1.4800,2.0000,1.3000,1.6700,142615784
2015-07-31,2.0000,2.0150,1.1500,1.5200,138390866
2015-06-30,2.0600,2.4370,1.9900,2.0000,99980444
2015-05-29,2.2000,2.4300,1.9500,2.0300,82097570
2015-04-30,1.9200,2.4100,1.8950,2.2400,93707653
2015-03-31,2.4700,2.5100,1.7400,1.8700,134681273
2015-02-27,2.6300,2.7400,2.1700,2.4500,140357767
2015-01-30,2.6300,3.3900,2.5100,2.6700,231393224
2014-12-31,2.1300,2.8200,2.1300,2.7000,331085980
2014-11-28,1.9200,2.5050,1.4200,2.1100,204835200
2014-10-31,2.7700,2.8400,1.7300,1.8900,197457456
2014-09-30,3.8900,3.9300,2.7500,2.7600,150872974
2014-08-29,3.7500,4.1000,3.4000,4.0100,122070200
2014-07-31,4.1500,4.2700,3.6100,3.6900,132244702
2014-06-30,3.0200,4.2500,3.0100,4.1200,175629199
2014-05-30,3.4600,3.5600,3.0000,3.0500,83035700
2014-04-30,3.5400,3.7000,3.3300,3.4900,93166700
2014-03-31,3.8900,4.3500,3.4200,3.5200,146916000
2014-02-28,3.7100,4.3700,3.4100,3.7100,123602600
2014-01-31,3.4300,4.1690,3.3650,3.6500,132829000
2013-12-31,4.3000,4.3150,3.1500,3.3300,169467079
2013-11-29,5.0200,5.1800,4.1000,4.3600,106925301
2013-10-31,4.6000,5.5900,4.3200,5.1000,143860100
2013-09-30,6.1900,6.2300,4.6620,4.7500,192798500
2013-08-30,5.2300,7.0800,4.2800,6.0200,203043600
2013-07-31,4.3700,5.4800,3.8500,5.1800,135519300
2013-06-28,5.3600,5.6450,3.8100,4.3300,141366800
2013-05-31,5.2100,6.2100,4.6700,5.2800,158654100
2013-04-30,7.2300,7.2650,4.6000,5.3700,166146900
2013-03-28,6.8200,7.5400,6.0400,7.2000,150915200
2013-02-28,8.3700,8.8700,6.6800,6.7400,85175500
2013-01-31,11.8500,12.0000,7.9500,8.2500,91132329
2012-12-31,11.8800,11.9700,10.5800,11.4700,56493300
2012-11-30,15.5600,15.9200,11.1200,11.8300,65759195
2012-10-31,16.0400,16.8800,15.0500,15.5900,56666500
2012-09-28,13.2100,16.4200,12.8541,15.8100,75323700
2012-08-31,11.1000,13.2900,10.4200,13.1000,56825900
2012-07-31,11.7800,12.3000,10.0300,11.1400,51742223
2012-06-29,10.9300,12.9600,10.9000,11.8000,80810300
2012-05-31,12.5000,12.6200,9.2000,10.6700,79996900
2012-04-30,13.2800,13.7500,11.8400,12.4000,56664200
2012-03-30,15.2900,15.3800,12.8700,13.2900,61341300
2012-02-29,16.9800,17.7400,14.8200,15.1200,50696100
2012-01-31,16.2500,17.8200,15.2600,16.7400,50945700
2011-12-30,20.2400,20.6800,14.6900,15.8500,42623000
2011-11-30,20.6900,23.4900,18.1000,20.1800,40101300
2011-10-31,20.4600,22.1800,16.9700,21.5000,47609600
2011-09-30,20.6700,23.8800,19.1700,19.7800,70059600
2011-08-31,20.0700,21.4400,18.2000,20.6000,71562400
2011-07-29,18.6300,22.2000,18.1500,20.0000,44371900
2011-06-30,20.9900,21.2200,17.6940,18.7600,69722300
2011-05-31,20.7000,21.3800,18.5000,21.0500,70729300
2011-04-29,21.9300,23.3800,19.4300,20.7500,64277400
2011-03-31,21.4900,23.3800,19.6400,22.0200,72306600
2011-02-28,19.3800,22.3400,19.1000,21.2000,68603800
2011-01-31,17.9000,20.0300,17.3600,19.0200,65431600
2010-12-31,16.5900,18.1300,16.1500,17.8000,50712900
2010-11-30,18.4100,19.4500,16.0600,16.3800,82584900
2010-10-29,17.8500,18.5200,16.5500,18.2800,64485100
2010-09-30,19.0100,19.3500,16.7800,17.7100,84213500
2010-08-31,16.1200,19.3100,15.5100,18.7400,61493900
2010-07-30,17.6800,17.6800,15.2700,15.8100,56598500
2010-06-30,17.5600,19.3100,16.2500,17.6800,76299200
2010-05-28,18.1100,20.2493,15.4200,17.3100,116333000
2010-04-30,13.5800,18.3100,13.5500,17.8700,80615000
2010-03-31,14.8600,16.0000,13.1700,13.2200,75953600
2010-02-26,13.4100,15.5000,13.0000,14.7700,113392600
2010-01-29,16.2600,17.7100,13.0800,13.2100,105963700
2009-12-31,19.6000,21.0000,15.0200,15.6400,142402300
2009-11-30,13.5300,20.1300,12.9200,18.9500,139729800
2009-10-30,14.2900,15.2000,12.1900,13.1500,106165100
2009-09-30,11.6800,15.8600,11.1400,14.1400,135068400
2009-08-31,10.8500,12.3600,10.6200,11.6300,37752900
2009-07-31,10.3400,11.3100,8.5700,10.5600,57869500
2009-06-30,11.3500,11.5100,9.0400,10.1200,73501300
2009-05-29,8.0500,11.4200,7.9700,11.2700,57417200
2009-04-30,8.6000,8.8700,7.2100,7.9900,55339100
2009-03-31,8.0200,8.9000,6.3100,8.5500,74838700
2009-02-27,6.6600,9.0000,6.4800,8.0800,81158200
2009-01-30,6.1600,7.2500,5.2500,6.8400,60841600
2008-12-31,4.2400,6.2400,3.4800,6.1100,51201800
2008-11-28,3.3600,4.7000,2.6900,4.7000,35810100
2008-10-31,5.6200,5.7900,2.2200,3.3000,45374500
2008-09-30,6.0100,6.3600,4.4500,5.6200,45859700
2008-08-29,6.5300,6.9000,5.1600,6.5200,32169800
2008-07-31,6.0300,6.8400,5.7000,6.6200,38652400
2008-06-30,5.9800,6.4500,5.5900,6.0500,35370800
2008-05-30,5.9100,6.6800,5.7900,5.9100,33663800
2008-04-30,7.2200,7.6400,5.7100,5.9800,36466500
2008-03-31,8.2800,8.6600,7.1500,7.3300,37360100
2008-02-29,8.1200,8.4800,7.0900,8.0900,30835300
2008-01-31,8.2000,10.0700,7.8000,7.9500,39572500
2007-12-31,8.6300,8.8800,7.7000,8.1000,15921400
2007-11-30,8.6600,10.4300,8.2900,8.5700,31063300
2007-10-31,8.7000,9.0700,7.8300,8.7700,24164200
2007-09-28,6.6900,9.0600,6.6900,8.6700,24739800
2007-08-31,8.3100,9.2400,6.4200,6.6100,29370000
