timestamp,open,high,low,close,volume
2023-09-13,168.7200,171.5000,148.2800,150.7700,14036977
2023-08-31,189.8100,195.6400,157.8200,165.2200,29685064
2023-07-31,187.5900,194.0200,179.0300,192.1500,30094411
2023-06-30,196.0900,213.1166,181.6200,187.4900,36984493
2023-05-31,204.7900,213.9100,186.0000,196.6500,30215893
2023-04-28,230.9300,233.4200,202.5900,205.5600,20626740
2023-03-31,198.3100,238.5500,191.6083,232.5500,31935856
2023-02-28,211.7300,225.3800,191.8200,199.2000,25049357
2023-01-31,204.9300,217.9800,182.0000,214.2000,26224942
2022-12-30,218.3800,225.5100,185.7500,202.2000,23927494
2022-11-30,229.9400,248.8700,203.3200,218.0800,25438705
2022-10-31,193.8200,241.8300,179.7500,228.8200,36906298
2022-09-30,200.0000,214.2450,182.3901,190.7900,37472125
2022-08-31,215.0200,236.2900,191.8000,201.6400,38766109
2022-07-29,183.3500,217.5750,173.4500,216.6800,22575181
2022-06-30,239.4800,248.8800,180.0000,184.3600,38373676
2022-05-31,295.0200,309.1200,208.3500,239.4800,29499144
2022-04-29,351.9000,371.1600,292.5950,296.6500,15349010
2022-03-31,325.8800,358.8993,302.7900,349.4000,17655852
2022-02-28,352.8900,369.8700,306.6600,326.6000,18605215
2022-01-31,381.1100,427.9999,318.0738,348.8200,24518493
2021-12-31,365.7000,397.4400,341.0300,380.4400,22700550
2021-11-30,415.4800,425.0000,361.1000,365.3300,18126118
2021-10-29,403.4200,424.3800,378.5000,415.0600,17023142
2021-09-30,456.5500,471.1000,405.1100,405.6100,17137499
2021-08-31,498.0700,526.0000,448.6800,457.1600,17354507
2021-07-30,472.0000,497.7300,455.9200,495.7500,11298750
2021-06-30,410.4900,487.0000,399.1500,473.2100,13762243
2021-05-28,394.6700,416.4900,368.0700,405.6400,17326231
2021-04-30,393.2100,426.4400,379.2600,392.8400,19928564
2021-03-31,449.0000,451.7400,364.2410,384.0600,27558947
2021-02-26,427.1400,555.7700,419.3000,439.4100,22314663
2021-01-29,370.8400,453.6800,356.0000,426.4400,24346299
2020-12-31,323.8600,378.3300,322.5950,370.0000,22705991
2020-11-30,298.0000,322.5500,288.8800,322.0900,22864488
2020-10-30,312.7750,356.0000,288.0100,292.7000,29322233
2020-09-30,355.3500,376.6700,260.4200,309.0800,47321722
2020-08-31,385.1900,404.2000,339.2925,357.2200,19326677
2020-07-31,369.2600,402.1400,361.5300,382.1600,17679298
2020-06-30,361.1400,372.6300,333.4400,370.3500,18505785
2020-05-29,317.1600,377.8000,303.3100,363.0500,21494904
2020-04-30,265.9200,324.9500,251.1400,319.0300,25091443
2020-03-31,268.0200,285.3400,196.7800,273.1200,38600022
2020-02-28,294.5894,305.4500,252.4310,265.6700,29195754
2020-01-31,329.0500,339.6300,288.8600,290.0700,25872671
2019-12-31,320.3300,336.6300,315.5150,331.7400,16264730
2019-11-29,297.2800,322.7840,290.2600,320.7600,15221609
2019-10-31,304.2200,317.7100,279.7600,295.5200,24012960
2019-09-30,279.8800,310.4300,263.3000,304.2200,23979268
2019-08-30,300.0000,306.0700,278.1200,281.3400,18179494
2019-07-31,371.2900,380.7600,291.0000,299.3800,36418777
2019-06-28,306.8800,369.0000,302.7200,368.1500,17720416
2019-05-31,311.7700,326.3000,300.3500,306.9100,19001174
2019-04-30,314.4500,340.4000,305.1850,312.0000,22689161
2019-03-29,313.9300,322.3200,285.4965,310.6900,18066581
2019-02-28,280.1100,314.6800,274.3500,312.7700,16405051
2019-01-31,294.7100,314.7450,268.6200,279.7900,24175286
