timestamp,open,high,low,close,volume
2023-09-11,2.7400,2.7600,2.7000,2.7300,1201474
2023-08-31,2.7800,2.7900,2.6900,2.7500,4068113
2023-07-31,2.7700,2.8300,2.7000,2.7900,5379911
2023-06-30,2.7700,2.8800,2.7400,2.7400,6499388
2023-05-31,2.7700,2.8700,2.7300,2.7800,5359782
2023-04-28,2.7700,2.8200,2.7400,2.7900,3437399
2023-03-31,2.8400,2.9000,2.7350,2.7700,7544012
2023-02-28,2.9200,2.9600,2.7800,2.8300,3578691
2023-01-31,2.7700,2.9700,2.7600,2.9400,5728123
2022-12-30,2.8800,2.9100,2.7450,2.7600,8046363
2022-11-30,2.7600,2.9000,2.7600,2.8900,4370852
2022-10-31,2.8000,2.8300,2.6600,2.7500,4429026
2022-09-30,2.9000,2.9300,2.7400,2.8100,4817678
2022-08-31,2.9600,3.0400,2.8900,2.9200,5285801
2022-07-29,2.9600,3.0200,2.8900,2.9800,15412252
2022-06-30,3.0200,3.0200,2.8350,2.9700,10485002
2022-05-31,3.0000,3.0600,2.9500,3.0200,11157813
2022-04-29,3.1300,3.1600,3.0000,3.0000,6594871
2022-03-31,3.2100,3.2800,3.0900,3.1500,9194383
2022-02-28,3.3800,3.4400,3.1000,3.2300,7202821
2022-01-31,3.5900,3.5972,3.3101,3.3900,9219117
2021-12-31,3.6100,3.6350,3.5300,3.5900,8120236
2021-11-30,3.6300,3.6700,3.5500,3.6000,8036696
2021-10-29,3.6200,3.6800,3.5700,3.6300,7052606
2021-09-30,3.6800,3.7000,3.5900,3.6200,8870579
2021-08-31,3.7100,3.7400,3.6700,3.6800,7664577
2021-07-30,3.7200,3.7400,3.6800,3.7100,6512070
2021-06-30,3.7000,3.7400,3.6600,3.7400,8914005
2021-05-28,3.7200,3.7400,3.6600,3.7000,8919324
2021-04-30,3.7300,3.7400,3.6400,3.7200,9166593
2021-03-31,3.7900,3.8100,3.6000,3.7200,13909475
2021-02-26,3.7900,3.8200,3.7400,3.7700,9005357
2021-01-29,3.8000,3.8400,3.7300,3.7800,6974176
2020-12-31,3.7900,3.8400,3.7300,3.8100,7603515
2020-11-30,3.7300,3.8200,3.7100,3.7800,6964887
2020-10-30,3.7500,3.8400,3.6900,3.7300,5966980
2020-09-30,3.8500,3.8800,3.7300,3.7300,8595898
