timestamp,open,high,low,close,volume
2023-09-13,945.5700,963.7200,919.9200,926.8500,2954188
2023-08-31,926.4400,960.4600,917.9300,939.7000,7745210
2023-07-31,954.4600,975.7200,914.3950,925.7900,7912250
2023-06-30,903.3100,959.8000,875.0600,955.3000,10665096
2023-05-31,917.7500,964.5800,873.7800,903.3100,10108894
2023-04-28,851.6700,922.8000,851.2200,917.3100,6581184
2023-03-31,822.6900,850.0000,795.7450,848.9800,9092883
2023-02-28,788.5600,873.9400,776.4300,830.1000,11268624
2023-01-31,842.4300,856.5700,767.2700,792.3500,8445244
2022-12-30,869.0600,869.9900,800.3800,844.0300,9053078
2022-11-30,838.5100,870.9200,805.2500,864.5400,9654292
2022-10-31,708.5400,845.2400,705.7100,837.1700,10641261
2022-09-30,699.3100,729.5700,680.0000,703.3500,10582104
2022-08-31,701.2700,750.8800,692.2900,697.1200,9692457
2022-07-29,626.9200,711.8700,624.8500,703.5900,9198714
2022-06-30,640.0000,650.5300,580.0100,631.7600,11957410
2022-05-31,603.2100,652.3000,562.9000,637.1700,16081593
2022-04-29,688.4100,748.6800,606.0100,606.5500,12127869
2022-03-31,647.4200,705.0000,645.7106,684.9600,13723429
2022-02-28,651.3600,684.4350,620.8200,649.2400,12218480
2022-01-31,703.7600,708.7100,629.5100,651.7500,10311313
2021-12-31,642.4100,710.8600,636.2600,706.2300,9133930
2021-11-30,622.3300,659.5200,614.0100,638.1600,7662015
2021-10-29,612.8200,669.0900,594.2000,622.3200,8853946
2021-09-30,596.0000,629.3950,573.9300,611.0600,9399727
2021-08-31,604.5500,617.3050,590.0700,594.0800,8177000
2021-07-30,566.9200,621.7300,566.3900,603.8400,7744257
2021-06-30,537.0500,569.4700,519.3200,566.2100,10567524
2021-05-28,555.1000,568.6300,527.4600,535.1200,10099610
2021-04-30,509.6063,553.4300,504.1200,552.8800,9898692
2021-03-31,450.1000,512.2400,446.5600,507.2500,13451575
2021-02-26,428.3000,464.5700,425.4900,447.3300,13277374
2021-01-29,454.2200,496.6100,424.0300,425.4700,12932068
2020-12-31,446.3600,467.7700,437.2200,452.5700,12357745
2020-11-30,442.7100,470.4600,434.9600,442.4400,9997597
2020-10-30,462.9300,475.3750,431.2600,436.6000,10245696
2020-09-30,467.3500,484.9950,437.3500,461.0800,10219142
2020-08-31,479.6100,480.6950,452.5250,465.6300,9620142
2020-07-31,419.9400,487.9500,413.0000,477.3800,13265055
2020-06-30,418.9500,434.3700,401.6500,421.6700,13083314
2020-05-29,379.3900,423.3100,373.1400,417.2400,13017100
2020-04-30,288.4200,399.9900,283.5900,386.3400,18202914
2020-03-31,367.0100,394.5500,251.5150,301.0500,28760419
2020-02-28,407.8400,421.7100,358.8700,368.7200,19305995
2020-01-31,438.5000,446.8300,405.0000,406.1000,12822151
2019-12-31,443.3800,448.5312,433.6300,438.2600,8757656
2019-11-29,437.9300,454.3100,432.1850,442.2800,7969240
2019-10-31,400.0400,446.7800,383.7700,435.5100,11261938
2019-09-30,380.0000,409.1700,378.2400,398.5100,10656641
2019-08-30,380.8600,390.0100,359.8550,383.7600,13009385
2019-07-31,373.0000,407.2000,371.1000,380.7600,13012311
2019-06-28,371.4900,391.1500,364.0800,369.3200,10755850
2019-05-31,377.6900,383.1100,349.7100,371.3700,15129700
2019-04-30,391.4000,414.6300,367.1208,378.5700,14687923
2019-03-29,373.1000,391.7800,361.5400,388.3000,11831116
2019-02-28,346.0800,394.4200,342.7725,371.9600,15641017
2019-01-31,335.8200,353.7350,329.8600,344.6600,14591168
2018-12-31,350.3700,356.4000,326.7100,344.3300,13509742
2018-11-30,319.1100,363.2000,318.3300,346.7800,14950622
2018-10-31,349.3800,349.6650,314.1350,320.7500,17072255
2018-09-28,335.5200,351.6500,329.9900,347.3200,10968612
2018-08-31,302.6600,335.9800,301.0200,335.4200,11920564
2018-07-31,272.4500,310.0000,270.9700,306.0000,14193472
2018-06-29,269.9100,290.3500,269.2643,273.5700,13956030
2018-05-31,254.0900,280.4000,254.0900,269.4100,16398299
2018-04-30,245.4800,265.0000,217.6400,256.0700,22868136
2018-03-29,243.6300,254.1100,237.7036,247.3800,15323661
2018-02-28,263.0100,266.4700,238.4100,244.1900,21901599
2018-01-31,241.3400,279.2300,241.2900,264.6900,17976441
2017-12-29,235.0000,263.6300,228.3400,240.5400,20834589
2017-11-30,211.2400,241.6300,205.6500,236.2100,18483242
2017-10-31,215.9800,217.9100,190.0000,210.9500,23493830
2017-09-29,197.1900,219.9800,194.0600,215.3700,23819762
2017-08-31,204.4400,211.0200,186.8200,196.1300,32252541
2017-07-31,218.7400,220.8900,169.4300,204.3000,58351008
2017-06-30,243.5400,246.5100,215.7600,218.7400,28891175
2017-05-31,248.4400,260.3100,234.1400,242.0800,34739341
2017-04-28,266.0000,270.1000,245.0100,248.1500,24026071
2017-03-31,273.2400,276.7450,267.0400,269.8400,19097352
2017-02-28,262.1900,277.4000,253.5400,271.7100,21985561
2017-01-31,280.0000,283.9690,259.1500,262.2700,15513490
2016-12-30,273.6200,286.5700,272.1700,278.4100,13450650
2016-11-30,263.9000,279.3600,250.0690,274.5000,19190046
2016-10-31,279.4300,283.2050,251.6200,264.4400,19106709
2016-09-30,280.7000,285.6700,272.4200,280.1100,17070999
2016-08-31,290.6300,291.6830,276.6700,279.9500,12138531
2016-07-29,271.8800,292.8400,266.8050,290.6300,14443888
2016-06-30,264.3400,274.7900,255.0100,271.1000,14621549
2016-05-31,262.7500,269.6800,248.0212,264.4300,15585017
2016-04-29,273.1900,277.8300,260.1600,262.6800,14826647
2016-03-31,263.1800,277.6800,258.5500,273.6600,17228001
2016-02-29,260.3200,269.0000,226.5100,260.3200,24248425
2016-01-29,248.4500,261.2700,225.1200,260.9000,19264151
2015-12-31,264.9600,267.1900,246.8817,253.4200,19228652
2015-11-30,276.3800,277.6599,258.6350,263.8700,12278251
2015-10-30,251.0000,277.9600,246.1200,276.2600,15745995
2015-09-30,235.6900,255.5700,230.9130,250.0000,17061105
2015-08-31,241.3000,258.1500,226.0500,240.0700,14591134
2015-07-31,228.0100,247.0000,227.7700,240.3100,12666491
2015-06-30,220.8000,233.8400,218.8200,225.9800,10819446
2015-05-29,219.0000,226.0000,216.4100,219.5300,10286322
2015-04-30,216.6400,230.7700,212.1500,217.8300,12619831
2015-03-31,209.1200,220.1100,202.4400,216.2400,12519053
2015-02-27,187.7000,214.1500,184.7600,208.1300,14639194
2015-01-30,192.8600,195.0300,179.0000,187.3600,16948546
2014-12-31,182.7200,196.8000,180.6900,192.6200,14649609
2014-11-28,175.6500,183.6300,175.0100,182.7400,13455562
2014-10-31,149.9700,177.0000,146.2200,175.8800,19252961
2014-09-30,156.6500,158.6300,149.5100,150.3600,11976267
2014-08-29,150.1800,157.1800,148.7400,155.9800,10422395
2014-07-31,150.0300,156.3700,145.5100,150.0000,15916900
2014-06-30,148.4300,154.2100,147.2100,150.6000,10781500
2014-05-30,148.9900,151.2000,144.3800,147.9500,12023800
2014-04-30,148.4800,151.2600,141.0800,148.7900,15909900
