timestamp,open,high,low,close,volume
2021-09-28,7.5200,7.7000,6.6500,7.0000,249182
2021-08-31,6.8900,7.5400,6.7500,7.4400,433973
2021-07-30,5.9600,6.9500,5.7000,6.8050,1850316
2021-06-30,5.8400,6.5800,5.6500,5.9500,797600
2021-05-28,5.4600,7.5000,4.1600,5.8500,19374837
2021-04-30,6.0100,6.2700,5.3600,5.4900,295009
2021-03-31,5.4100,6.3000,4.8500,6.0500,605715
2021-02-26,5.0900,5.8800,5.0900,5.3400,540858
2021-01-29,4.3900,5.2500,4.3800,4.7500,616283
2020-12-31,4.3700,4.6000,4.0700,4.4300,417084
2020-11-30,4.4600,4.7723,4.2000,4.3500,395512
2020-10-30,4.4301,7.1000,4.2600,4.4200,5090902
2020-09-30,4.6900,5.9000,4.2500,4.4500,830169
2020-08-31,5.3000,9.2500,4.6500,4.7800,13485074
2020-07-31,6.0600,12.6500,5.2500,5.3100,2187252
2020-06-30,5.3000,6.7000,4.6400,6.0600,276391
2020-05-29,5.1200,5.4500,4.2000,4.9100,52534
2020-04-30,3.7000,6.2000,3.2500,5.0000,86427
2020-03-31,5.0300,5.0300,2.4800,3.7000,70792
2020-02-28,5.2500,5.5900,5.0000,5.1200,17161
2020-01-31,5.4000,6.0000,4.8500,5.0200,35765
2019-12-31,4.9900,8.5400,4.8500,5.3800,150680
2019-11-29,4.8000,5.3000,4.6100,5.0800,20972
2019-10-31,5.3200,5.4500,4.9600,5.0300,34833
2019-09-30,5.0900,5.5000,4.9900,5.2000,6060
2019-08-30,5.2000,5.5000,4.8800,5.1000,17326
2019-07-31,5.7100,5.7400,5.0500,5.1500,14818
2019-06-28,5.4300,5.8000,5.2500,5.3000,55178
2019-05-31,5.8100,5.8800,5.2500,5.4000,60312
2019-04-30,5.8500,6.0300,5.6600,5.8100,34589
2019-03-29,5.9200,6.2600,5.7000,5.8300,74585
2019-02-28,6.0100,6.5100,5.8000,6.0000,105585
2019-01-31,5.5275,11.0000,5.5000,6.0800,318826
2018-12-31,5.9600,7.5000,5.0200,5.5000,39439
